id,prefecture_id,prefecture_name,created_at,updated_at
1,13,東京,2019-11-24 15:24:07.063677,2019-11-24 15:41:50.217501
2,14,神奈川,2019-11-24 15:25:07.903663,2019-11-24 15:25:07.903663
